,epoch,train_loss,val_loss
0,1,0.17899010284635863,0.0
1,2,0.09266712122642604,0.0
2,3,0.0811063715974327,0.0
3,4,0.07146552523414863,0.0
4,5,0.06329401617594918,0.08098629376162654
